Cm0: 0  W0: [[0. 0. 0. 0. 0.]]
Cm179: 71  W179: [[ 49.        -54.1563877 -32.323609  -29.64916    -5.9562506]]
Cm180: 140  W180: [[ 48.        -53.5116677 -27.717409  -37.99616    -3.2463506]]
Cm181: 29  W181: [[ 49.        -56.7421677 -34.930909  -26.35286    -4.1924806]]
Cm182: 11  W182: [[ 50.        -55.1611677 -34.061819  -28.66666    -3.3683606]]
Cm183: 1  W183: [[ 51.        -53.9039677 -29.188719  -33.95276    -9.2424606]]
Cm184: 20  W184: [[ 50.        -54.4234377 -25.925419  -37.04226    -8.2575406]]
Cm185: 19  W185: [[ 49.        -51.7755377 -36.062819  -35.71126    -2.7868406]]
Cm186: 51  W186: [[ 50.        -49.9880377 -31.282819  -40.84746    -6.0230406]]
Cm187: 2  W187: [[ 49.        -50.5075377 -28.019519  -43.93696    -5.0381406]]
Cm188: 41  W188: [[ 50.        -55.3629377 -33.923219  -32.95516    -5.8601306]]
Cm189: 223  W189: [[ 51.        -53.7725377 -31.711119  -36.07346    -5.9773806]]
Cm190: 27  W190: [[ 50.        -54.2920377 -28.447819  -39.16296    -4.9924806]]
Cm191: 71  W191: [[ 49.        -52.4336377 -36.333819  -37.49866    -3.1540806]]
Cm192: 153  W192: [[ 48.        -52.9531077 -33.070519  -40.58816    -2.1691606]]
Cm193: 59  W193: [[ 47.        -53.4726077 -29.807219  -43.67766    -1.1842606]]
Cm194: 3  W194: [[ 48.        -57.1687077 -43.485119  -26.09816    -3.8023606]]
Cm195: 3  W195: [[ 49.        -56.1050077 -39.789419  -30.25756    -5.7402606]]
Cm196: 5  W196: [[ 50.        -54.6154077 -36.360619  -34.28846    -7.1661606]]
Cm197: 111  W197: [[ 49.        -55.1349077 -33.097319  -37.37796    -6.1812606]]
Cm198: 31  W198: [[ 50.        -52.7432077 -28.540819  -42.36676    -9.0799606]]
Cm199: 8  W199: [[ 51.        -54.7498077 -35.259819  -33.35056    -8.9799756]]
Cm200: 6  W200: [[ 52.        -52.5555077 -30.709519  -38.32656   -11.7053756]]
Cm201: 1  W201: [[ 51.        -52.8847077 -26.254319  -42.89836   -10.7165756]]
Cm202: 2  W202: [[ 52.        -56.1152077 -33.467819  -31.25506   -11.6627056]]
Cm203: 72  W203: [[ 53.        -54.3277077 -28.687819  -36.39126   -14.8989056]]
Cm204: 13  W204: [[ 54.        -52.2967077 -26.835819  -39.40336   -14.8959026]]
Cm205: 283  W205: [[ 53.        -52.5470577 -36.162019  -35.71606    -8.6416026]]
Cm206: 119  W206: [[ 52.        -52.8762977 -31.706819  -40.28786    -7.6528026]]
